iShares Russell 3000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,"Feb 11, 2026",,,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,,,,
Shares Outstanding,"47,500,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
HCA,HCA HEALTHCARE INC,Health Care,Equity,"24,067,618.95",0.13,"24,067,618.95","45,285.00",531.47,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
MRSH,MARSH INC,Financials,Equity,"23,894,241.00",0.13,"23,894,241.00","138,117.00",173.00,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
EQIX,EQUINIX REIT INC,Real Estate,Equity,"23,826,436.80",0.13,"23,826,436.80","27,465.00",867.52,United States,NASDAQ,USD,1.00,USD,-
BK,BANK OF NEW YORK MELLON CORP,Financials,Equity,"23,725,658.40",0.13,"23,725,658.40","194,952.00",121.70,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
SHW,SHERWIN WILLIAMS,Materials,Equity,"23,658,188.93",0.13,"23,658,188.93","64,469.00",366.97,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,"23,555,708.16",0.13,"23,555,708.16","130,517.00",180.48,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary,Equity,"23,537,385.00",0.13,"23,537,385.00","70,524.00",333.75,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
CMI,CUMMINS INC,Industrials,Equity,"23,091,787.30",0.12,"23,091,787.30","38,557.00",598.90,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"22,875,880.30",0.12,"22,875,880.30","76,342.00",299.65,United States,NASDAQ,USD,1.00,USD,-
SNDK,SANDISK CORP,Information Technology,Equity,"22,695,807.12",0.12,"22,695,807.12","37,868.00",599.34,United States,NASDAQ,USD,1.00,USD,-
SNPS,SYNOPSYS INC,Information Technology,Equity,"22,588,410.87",0.12,"22,588,410.87","51,547.00",438.21,United States,NASDAQ,USD,1.00,USD,-
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity,"22,492,548.75",0.12,"22,492,548.75","62,697.00",358.75,United States,NASDAQ,USD,1.00,USD,-
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,"22,369,547.70",0.12,"22,369,547.70","363,910.00",61.47,United States,NASDAQ,USD,1.00,USD,-
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,"22,330,138.47",0.12,"22,330,138.47","237,277.00",94.11,United States,NASDAQ,USD,1.00,USD,"Jan 01, 1970"
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,"22,086,915.38",0.12,"22,086,915.38","28,354.00",778.97,United States,NASDAQ,USD,1.00,USD,-
FDX,FEDEX CORP,Industrials,Equity,"21,951,762.08",0.12,"21,951,762.08","59,788.00",367.16,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
CI,CIGNA,Health Care,Equity,"21,654,697.29",0.12,"21,654,697.29","73,473.00",294.73,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
